
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
74:83:C2:87:83:2A, 2022-04-19 21:36:13, 2022-04-19 21:36:27, 11, 195, OPN, ,   , -86,        8,        0,   0.  0.  0.  0,   8, PHARMACY, 
A0:06:DD:B4:45:47, 2022-04-19 21:36:27, 2022-04-19 21:36:27, 10, 135, WPA2, CCMP, PSK, -85,        1,        0,   0.  0.  0.  0,  21, , 
88:DC:96:37:D0:3C, 2022-04-19 21:36:24, 2022-04-19 21:36:27,  6, 270, OPN, ,   , -84,        2,        0,   0.  0.  0.  0,  15, Health Sciences, 
76:83:C2:87:83:2A, 2022-04-19 21:36:13, 2022-04-19 21:36:24, 11, 195, WPA2, CCMP, PSK, -83,        9,        0,   0.  0.  0.  0,   0, , 
88:DC:96:37:D0:3B, 2022-04-19 21:36:13, 2022-04-19 21:36:13,  6, 270, OPN, ,   , -82,        2,        0,   0.  0.  0.  0,  15, Health Sciences, 
74:83:C2:87:84:DF, 2022-04-19 21:36:13, 2022-04-19 21:36:24,  6, 195, OPN, ,   , -82,        5,        0,   0.  0.  0.  0,   8, PHARMACY, 
76:83:C2:87:84:DF, 2022-04-19 21:36:17, 2022-04-19 21:36:28,  6, 195, WPA2, CCMP, PSK, -83,        8,        0,   0.  0.  0.  0,   0, , 
2C:C8:1B:61:ED:7C, 2022-04-19 21:36:10, 2022-04-19 21:36:28,  1, 130, OPN, ,   , -81,        8,        3,   0.  0.  0.  0,   7, NURSING, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
BC:91:B5:C4:DE:6A, 2022-04-19 21:36:10, 2022-04-19 21:36:10, -81,        1, 2C:C8:1B:61:ED:7C,

